Full Address,Current Location,Associated Vehicle,Current LocationIDs,Associated Vehicle IDs
"1420 Turtleback Trail, Panama City, FL 32413",OVBELZL80K6K919MA;Z5U0834DW7EVJ4HV5;QX3718ID5LJ4OJWB7;18ERY3SC7ZLGJOSH4;UNF5SK5FWIGMML4NR;F8EIPBTDKTDQ4T5BJ;ZN5UGR9WAXDUZMDTU;XLSAD5YE87GBYV3W2;66O707W8WEADDR4UH,OVBELZL80K6K919MA;Z5U0834DW7EVJ4HV5;QX3718ID5LJ4OJWB7;18ERY3SC7ZLGJOSH4;UNF5SK5FWIGMML4NR;F8EIPBTDKTDQ4T5BJ;ZN5UGR9WAXDUZMDTU;XLSAD5YE87GBYV3W2;66O707W8WEADDR4UH,10677684120;10676460211;10677605894;10677803705;10676836366;10677655303;10677526872;10677866753;10676826967,10677684120;10676460211;10677605894;10677803705;10676836366;10677655303;10677526872;10677866753;10676826967
"1427 South Carolina Avenue Southeast, Washington, DC 20003",ARGDOFJOHZ5MYTCF8;GFA6N2BWV5A748O76;78NW1QSD0SLY7BJMP;42695GT96FIM7PHUE;MRNAXU2HK6MI2SR4X;N5KMTEC14FWAX50EO;9Y4LSX5ZCGCB110GQ;M25R2L7KWYXDV67YL;2S8ZKLHCBZ4XYW2Y5,ARGDOFJOHZ5MYTCF8;GFA6N2BWV5A748O76;78NW1QSD0SLY7BJMP;42695GT96FIM7PHUE;MRNAXU2HK6MI2SR4X;N5KMTEC14FWAX50EO;9Y4LSX5ZCGCB110GQ;M25R2L7KWYXDV67YL;2S8ZKLHCBZ4XYW2Y5,10676859780;10677711033;10677747629;10676796054;10676784811;10677735062;10676603246;10676538492;10676784809,10676859780;10677711033;10677747629;10676796054;10676784811;10677735062;10676603246;10676538492;10676784809
"21950 Arnold Center Road, Carson, CA 90810",E5TM7575DSV67WLV8;5CLKWABDDXW4G02WQ;TCPGLGGZ1VX33KG6Q;PFTXKRGGQDJ4XHW6V;0VAUQM2HHFN1V2QT1;LR62WX3YUXLB5HAXX;WB487ILNLN2GRPK9R;3N2ZI7YNGUX9RHGEN;9TD85JFVC2LDGAEV7,E5TM7575DSV67WLV8;5CLKWABDDXW4G02WQ;TCPGLGGZ1VX33KG6Q;PFTXKRGGQDJ4XHW6V;0VAUQM2HHFN1V2QT1;LR62WX3YUXLB5HAXX;WB487ILNLN2GRPK9R;3N2ZI7YNGUX9RHGEN;9TD85JFVC2LDGAEV7,10677689926;10677760073;10676807720;10677636946;10676784812;10676853634;10676906902;10677636947;10676826963,10677689926;10677760073;10676807720;10677636946;10676784812;10676853634;10676906902;10677636947;10676826963
"7 Underwood Place Northwest, Washington, DC 20012",KBM84N93B0S2Y16RM;V56N8Z5LGK6DT18RX;C51S6GJK490ZM4XYT;J5QBO9OCL1LWSSKLG;PIG4P0ZUB8XCQZ2FA;RMQN6ZFIXLQE4KR0L;MZQ0K6AP9F02I2VPO;R78PUZAKR6LOIKPJ9,KBM84N93B0S2Y16RM;V56N8Z5LGK6DT18RX;C51S6GJK490ZM4XYT;J5QBO9OCL1LWSSKLG;PIG4P0ZUB8XCQZ2FA;RMQN6ZFIXLQE4KR0L;MZQ0K6AP9F02I2VPO;R78PUZAKR6LOIKPJ9,10676603248;10677742776;10677668696;10676698658;10677830289;10676859778;10676774958;10676613159,10676603248;10677742776;10677668696;10676698658;10677830289;10676859778;10676774958;10676613159
"8505 Waters Avenue, Savannah, GA 31406",CK6XGGAOO0LURII68;W7B4UB2Y44F7WXQZX;7Z9CVSWW31IRWNEMU;UK1I5SDZJWHYVSSZA;IL99AIUPI8KJ4NPBF,CK6XGGAOO0LURII68;W7B4UB2Y44F7WXQZX;7Z9CVSWW31IRWNEMU;UK1I5SDZJWHYVSSZA;IL99AIUPI8KJ4NPBF,10676637524;10677803703;10676807722;10676569727;10676698660,10676637524;10677803703;10676807722;10676569727;10676698660
"6231 North 67th Avenue, Glendale, AZ 85301",WSX3GY5N1LGUHVTNP;G5MXBKVSID1U218ZG;LJ2ZV2BNAVWXA9FX2;CRM6CGR9RQTNTH8NB;XJYFXGWCLZ63R8FVH,WSX3GY5N1LGUHVTNP;G5MXBKVSID1U218ZG;LJ2ZV2BNAVWXA9FX2;CRM6CGR9RQTNTH8NB;XJYFXGWCLZ63R8FVH,10677866680;10676807721;10676460210;10677587523;10676603247,10677866680;10676807721;10676460210;10677587523;10676603247
"117 East Cook Avenue, Anchorage, AK 99501",D387PHQ09YKHHGH7K;E49KLYLQ1SZZT5BLS;TZKVXPE9EP8UU32MX;431O3ZABZ72GPK887;R1CFVSUQFSM4BVNP0;EGTEO5GCPT4ZT46D0;CCT4GAYPHE3JUW329,D387PHQ09YKHHGH7K;E49KLYLQ1SZZT5BLS;TZKVXPE9EP8UU32MX;431O3ZABZ72GPK887;R1CFVSUQFSM4BVNP0;EGTEO5GCPT4ZT46D0;CCT4GAYPHE3JUW329,10676569728;10676853632;10677689929;10676741415;10677689927;10677668695;10676846621,10676569728;10676853632;10677689929;10676741415;10677689927;10677668695;10676846621
"8800 Cordell Circle, Anchorage, AK 99502",5YRWQQ7HIZWCU13QQ;7UFJ80VT19BRGWWSZ;G4Q3E5M2HEQROIXQ0;Q3OCSB0DA00AFOUHZ;ZV3M1GRVDDDJX735M,5YRWQQ7HIZWCU13QQ;7UFJ80VT19BRGWWSZ;G4Q3E5M2HEQROIXQ0;Q3OCSB0DA00AFOUHZ;ZV3M1GRVDDDJX735M,10677684117;10677804939;10676698659;10676569729;10677661852,10677684117;10677804939;10676698659;10676569729;10677661852
"3301 Old Muldoon Road, Anchorage, AK 99504",KWTT0UDNA5JM84VND;D38ETKP1H4FNT9DIF;YCJ33U3JSB461I6MD;EGTNISXLJJL6HQP7N;IQE5ZRNWDQ87BYBSJ;DY63672MQX2Q6ALSJ;4T2GKVXDQ3E8A3BV0;O04TLARK3X5O8XR80;YXRQGJ7XOQJUGKOD2,KWTT0UDNA5JM84VND;D38ETKP1H4FNT9DIF;YCJ33U3JSB461I6MD;EGTNISXLJJL6HQP7N;IQE5ZRNWDQ87BYBSJ;DY63672MQX2Q6ALSJ;4T2GKVXDQ3E8A3BV0;O04TLARK3X5O8XR80;YXRQGJ7XOQJUGKOD2,10677866756;10676631908;10677765422;10676583718;10677775124;10676618886;10677562513;10677830284;10676819486,10677866756;10676631908;10677765422;10676583718;10677775124;10676618886;10677562513;10677830284;10676819486
"8315 Surf Drive, Panama City Beach, FL 32408",0AI4T3B4F8QDLVQ6T;3AHJGG48HPVSLZQR2;KCLBZXB4Q18X2OZBL;AJ44XD1XX8RZTMF8S;9V5ZCY5E9DP1D0UD8;4TGDCK3VXXGGHACCQ;BV3X7J8GB3JSXIVOJ;IERDVO4HJN1LBEWXS,0AI4T3B4F8QDLVQ6T;3AHJGG48HPVSLZQR2;KCLBZXB4Q18X2OZBL;AJ44XD1XX8RZTMF8S;9V5ZCY5E9DP1D0UD8;4TGDCK3VXXGGHACCQ;BV3X7J8GB3JSXIVOJ;IERDVO4HJN1LBEWXS,10676631910;10677720719;10677760072;10677676102;10676698662;10676910004;10677760082;10676732254,10676631910;10677720719;10677760072;10677676102;10676698662;10676910004;10677760082;10676732254
"1903 Bashford Manor Lane, Louisville, KY 40218",FJW4VDEBELR10DH48;4374S5NYDN399E22K;UXXTAGPJZXF1K6SJB;0FQ33LYJE0DZ2I5J6;DE3D6GIPQNLA9ZUQU;FTA1J45XF9PKDU6TM,FJW4VDEBELR10DH48;4374S5NYDN399E22K;UXXTAGPJZXF1K6SJB;0FQ33LYJE0DZ2I5J6;DE3D6GIPQNLA9ZUQU;FTA1J45XF9PKDU6TM,10677668697;10677605893;10676681224;10677689933;10676906904;10676826968,10677668697;10677605893;10676681224;10677689933;10676906904;10676826968
"2409 Research Boulevard, Fort Collins, CO 80526",TGDWULRM8INI2PJVM;QSVUG79XFW3UGNULV;PZDB1CV3KC7OAPAA2;M8C69RZRTV28KR6XF;ITUERPXC57LY0ELVB;3EHDFXF58ELZZ8G6F;7GGL2ZCOP7HSLKVXR;70DX2SJ08TKAOFENW;UTFNYEQS0P7VH6Q6W;5H0MN0RJYHC23EL7L,TGDWULRM8INI2PJVM;QSVUG79XFW3UGNULV;PZDB1CV3KC7OAPAA2;M8C69RZRTV28KR6XF;ITUERPXC57LY0ELVB;3EHDFXF58ELZZ8G6F;7GGL2ZCOP7HSLKVXR;70DX2SJ08TKAOFENW;UTFNYEQS0P7VH6Q6W;5H0MN0RJYHC23EL7L,10676826966;10676583717;10677747631;10677760075;10676618890;10676583724;10677775125;10677562515;10676836369;10677717151,10676826966;10676583717;10677747631;10677760075;10676618890;10676583724;10677775125;10677562515;10676836369;10677717151
"165 Saint John Street, Manchester, CT 06040",1UGCYWTA4DCWK7KPE;B2X5XP3TIF5GXDURA;ARTP8QD6ZCI0L0XG8;L9UO3XUQ1VY43E5L8;EW9LWIY9P3VLOZG8J;4JW57PHKFJB4Z1WE0;C5SD5303MD6T5DSMY;7SK8RE9SVQGHZUXSF,1UGCYWTA4DCWK7KPE;B2X5XP3TIF5GXDURA;ARTP8QD6ZCI0L0XG8;L9UO3XUQ1VY43E5L8;EW9LWIY9P3VLOZG8J;4JW57PHKFJB4Z1WE0;C5SD5303MD6T5DSMY;7SK8RE9SVQGHZUXSF,10677508352;10677614195;10677508279;10677661845;10677744155;10677752713;10676689517;10677636950,10677508352;10677614195;10677508279;10677661845;10677744155;10677752713;10676689517;10677636950
"1770 Colony Way, Fayetteville, AR 72704",NCRU0M6WNEGWRP3Q6;H8KXHVIQP9FIUSXK5;H3W14W8XG3H27RW6B;NS2CBEH7KAKTV7Q3S;YTFTCASQSKJK5LEA1;RAM1E8QH6YZ5VABOU,NCRU0M6WNEGWRP3Q6;H8KXHVIQP9FIUSXK5;H3W14W8XG3H27RW6B;NS2CBEH7KAKTV7Q3S;YTFTCASQSKJK5LEA1;RAM1E8QH6YZ5VABOU,10677775123;10677684118;10676758095;10677631553;10677542830;10677605892,10677775123;10677684118;10676758095;10677631553;10677542830;10677605892
"1347 Blackwalnut Court, Annapolis, MD 21403",QEOQV08AMHABBI10C;DFKFPU8XJLL8OHVY9;P71DA11ZSD0AULJQ7;Z0M5O5QLU5WI812DE;6QZFFBHLJVITEFFJV;KVX2F14AO1PWIKVHE;MQ1A3AKGKXV06KQ1I;BFQ61D6BSO1RO38XM;GI8F673RA6WT7B0JM,QEOQV08AMHABBI10C;DFKFPU8XJLL8OHVY9;P71DA11ZSD0AULJQ7;Z0M5O5QLU5WI812DE;6QZFFBHLJVITEFFJV;KVX2F14AO1PWIKVHE;MQ1A3AKGKXV06KQ1I;BFQ61D6BSO1RO38XM;GI8F673RA6WT7B0JM,10676853635;10677644100;10677661849;10676846623;10676906903;10677668699;10676583721;10677702827;10677605891,10676853635;10677644100;10677661849;10676846623;10676906903;10677668699;10676583721;10677702827;10677605891
"19416 Barclay Road, Castro Valley, CA 94546",0468BS893L7JOMRNX;CTLKW757XPU018DF3;OOE50JRMDKB9GTYDB;PLLFQ6V5MS2J30GGS;DKAJ4OYQ5Z4QSSHXH;DPVJA3QI4WOOUK46F;E0ZEE0Y3PZR8B47SI,0468BS893L7JOMRNX;CTLKW757XPU018DF3;OOE50JRMDKB9GTYDB;PLLFQ6V5MS2J30GGS;DKAJ4OYQ5Z4QSSHXH;DPVJA3QI4WOOUK46F;E0ZEE0Y3PZR8B47SI,10676575801;10676618887;10676758096;10677717152;10676784807;10677661847;10677804940,10676575801;10676618887;10676758096;10677717152;10676784807;10677661847;10677804940
"6601 West Ocotillo Road, Glendale, AZ 85301",F39AYDE8P8PCNS5XY;1OFIHFASO5U7X15W6;8F0UT2Z8XULW9NGGJ;LV6NSCZOAN6V5DJ7U;64J82CV242A97OLOZ,F39AYDE8P8PCNS5XY;1OFIHFASO5U7X15W6;8F0UT2Z8XULW9NGGJ;LV6NSCZOAN6V5DJ7U;64J82CV242A97OLOZ,10677765420;10677572432;10677803702;10677803776;10677803780,10677765420;10677572432;10677803702;10677803776;10677803780
"74 Ranch Drive, Montgomery, AL 36109",MZNPVBZJSSYLVTWIW;WGEIR6CJHKHOKT9B6;YC2CVHSW1EA8DNFVI;4EGOVILTKDMCBNKZ4;CLHKDOYA7ENBAH6R8;AO161KDMBCNXYUPUL;ZLPPKUG5JQTEL6U68;BP8XNQT8FDBWC6CO9;3S6U1P8DQB522CL6U,MZNPVBZJSSYLVTWIW;WGEIR6CJHKHOKT9B6;YC2CVHSW1EA8DNFVI;4EGOVILTKDMCBNKZ4;CLHKDOYA7ENBAH6R8;AO161KDMBCNXYUPUL;ZLPPKUG5JQTEL6U68;BP8XNQT8FDBWC6CO9;3S6U1P8DQB522CL6U,10676853633;10676538490;10677717150;10677605895;10677866752;10676637523;10676859777;10677655305;10677601852,10676853633;10676538490;10677717150;10677605895;10677866752;10676637523;10676859777;10677655305;10677601852
"10826 Pointe Royal Drive, Bakersfield, CA 93311",9BZMH57BO8R8BAC98;AR2A4W6MO1CO554DF;3B9DO8PGVJXRJM280;TJ0TYFTFKSTDXSLQY;71VVN9HQGOCCBNSB7;QNFUI2H3CZ2GXG5QU;TQO2LF7J2OUMJV9O8;19NBG9N4ZJIUHUZAX,9BZMH57BO8R8BAC98;AR2A4W6MO1CO554DF;3B9DO8PGVJXRJM280;TJ0TYFTFKSTDXSLQY;71VVN9HQGOCCBNSB7;QNFUI2H3CZ2GXG5QU;TQO2LF7J2OUMJV9O8;19NBG9N4ZJIUHUZAX,10677655304;10676853631;10677655309;10676603249;10677760081;10676698656;10676569736;10677720716,10677655304;10676853631;10677655309;10676603249;10677760081;10676698656;10676569736;10677720716
