VIN,Associated Location,Current Location,Associated Location IDs,Current LocationIDs
ZJ6ALBY1N9XTH4W7F,"560 Penstock Drive, Grass Valley, CA 95945","560 Penstock Drive, Grass Valley, CA 95945",9804115223,9804115223
N535SFZ64B0GS2VOM,"560 Penstock Drive, Grass Valley, CA 95945","560 Penstock Drive, Grass Valley, CA 95945",9804115223,9804115223
G46QDSRHBHV0EVNOR,"2721 Lindsay Avenue, Louisville, KY 40206","2721 Lindsay Avenue, Louisville, KY 40206",9804347670,9804347670
GSHKPW441B12F1PMT,"308 Woodleaf Court, Glen Burnie, MD 21061","308 Woodleaf Court, Glen Burnie, MD 21061",9803072894,9803072894
SWZQ7ZT15QIFGF1G9,"1745 T Street Southeast, Washington, DC 20020","1745 T Street Southeast, Washington, DC 20020",9802682721,9802682721
LZ5PSYLKOJTUFH6CY,"4 Old Colony Way, Yarmouth, MA 02664","4 Old Colony Way, Yarmouth, MA 02664",9804103823,9804103823
7X6AM8ZD8FVY7MTAV,"210 Lacross Lane, Westmore, VT 05860","210 Lacross Lane, Westmore, VT 05860",9802721820,9802721820
CA99XY7G8WZDZ01I6,"210 Green Road, Manchester, CT 06042","210 Green Road, Manchester, CT 06042",9803066400,9803066400
S3FUJ1C6SZ9G1BZ61,"5906 Milton Avenue, Deale, MD 20751","5906 Milton Avenue, Deale, MD 20751",9804057613,9804057613
W5D1GSL7RF5EYE0F7,"5601 West Crocus Drive, Glendale, AZ 85306","5601 West Crocus Drive, Glendale, AZ 85306",9802667289,9802667289
R6WQLQMJ8B5PXZ34T,"1208 Elkader Court North, Nashville, TN 37013","1208 Elkader Court North, Nashville, TN 37013",9803040372,9803040372
09R391JQXIBV0WI1H,"49548 Road 200, O'Neals, CA 93645","49548 Road 200, O'Neals, CA 93645",9803072893,9803072893
3QOFSTS0VV5QCLBD5,"1513 Cathy Street, Savannah, GA 31415","1513 Cathy Street, Savannah, GA 31415",9803001870,9803001870
TF6EFOGRDFYU3PBIL,"8502 Madrone Avenue, Louisville, KY 40258","8502 Madrone Avenue, Louisville, KY 40258",9803084944,9803084944
V6ZE6O98LEA6ZW7Y4,"2010 Rising Hill Drive, Norman, OK 73071","2010 Rising Hill Drive, Norman, OK 73071",9802819075,9802819075
T0FSMYATRYOD2W67W,"2203 7th Street Road, Louisville, KY 40208","2203 7th Street Road, Louisville, KY 40208",9803094812,9803094812
NWJPUXNQ4I9IJO7O3,"1208 Elkader Court North, Nashville, TN 37013","1208 Elkader Court North, Nashville, TN 37013",9803040372,9803040372
LS3I7J539HQ6XNMGV,"7431 Candace Way, Louisville, KY 40214","7431 Candace Way, Louisville, KY 40214",9804029265,9804029265
WHH2VPY6KC9K6ZB0V,"20930 Todd Valley Road, Foresthill, CA 95631","20930 Todd Valley Road, Foresthill, CA 95631",9804152489,9804152489
7S81VCZUQTWZMTSUI,"2811 Battery Place Northwest, Washington, DC 20016","2811 Battery Place Northwest, Washington, DC 20016",9802561972,9802561972
7JW1YIVCB90QNVR75,"210 Lacross Lane, Westmore, VT 05860","210 Lacross Lane, Westmore, VT 05860",9802721820,9802721820
JMB6IFOLDXVUP83DO,"20930 Todd Valley Road, Foresthill, CA 95631","20930 Todd Valley Road, Foresthill, CA 95631",9804152489,9804152489
WY2OZYY7BY625GTHH,"388 East Main Street, , VT 05753","388 East Main Street, , VT 05753",9802844235,9802844235
JIH3P0RSHBDDVD8A1,"1513 Cathy Street, Savannah, GA 31415","1513 Cathy Street, Savannah, GA 31415",9803001870,9803001870
P3K4QJ4L3Z06L02GD,"74 Springfield Street, Agawam, MA 01001","74 Springfield Street, Agawam, MA 01001",9804071310,9804071310
PY5I9H1QDLHJZ6QBA,"2905 Stonebridge Court, Norman, OK 73071","2905 Stonebridge Court, Norman, OK 73071",9804152487,9804152487
RDRR691X73P35A7GN,"388 East Main Street, , VT 05753","388 East Main Street, , VT 05753",9802844235,9802844235
LQC0L43ISD4CFODJP,"1649 Timberridge Court, Fayetteville, AR 72704","1649 Timberridge Court, Fayetteville, AR 72704",9804127287,9804127287
CJ3CI3MJR4CUIVSMQ,"4 Old Colony Way, Yarmouth, MA 02664","4 Old Colony Way, Yarmouth, MA 02664",9804103823,9804103823
A3MEHXRATUNJIXLHT,"1649 Timberridge Court, Fayetteville, AR 72704","1649 Timberridge Court, Fayetteville, AR 72704",9804127287,9804127287
5XBB0OOV73WQ8ZUMC,"5601 West Crocus Drive, Glendale, AZ 85306","5601 West Crocus Drive, Glendale, AZ 85306",9802667289,9802667289
SYN5V53Y6R4P6PT46,"6007 Applegate Lane, Louisville, KY 40219","6007 Applegate Lane, Louisville, KY 40219",9803107745,9803107745
BLUF9MHLP1HHG415T,"629 Debbie Drive, Nashville, TN 37076","629 Debbie Drive, Nashville, TN 37076",9804165031,9804165031
1K8CH72VTTHDHQJDC,"150 Carter Street, Manchester, CT 06040","150 Carter Street, Manchester, CT 06040",9804249141,9804249141
M0C9DI448E8KRK9C9,"60 Desousa Drive, Manchester, CT 06040","60 Desousa Drive, Manchester, CT 06040",9804092591,9804092591
JR1YBNRI2NI38R3W0,"2203 7th Street Road, Louisville, KY 40208","2203 7th Street Road, Louisville, KY 40208",9803094812,9803094812
22I932W15LADY5WGK,"6007 Applegate Lane, Louisville, KY 40219","6007 Applegate Lane, Louisville, KY 40219",9803107745,9803107745
2QN6YCGXY2IP8V7JM,"314 South 17th Street, Nashville, TN 37206","314 South 17th Street, Nashville, TN 37206",9804103824,9804103824
Q6YDZ2SNI0JRN1Y5J,"5906 Milton Avenue, Deale, MD 20751","5906 Milton Avenue, Deale, MD 20751",9804057613,9804057613
ZGI2SHI371J7L6F9Z,"5461 West Shades Valley Drive, Montgomery, AL 36108","5461 West Shades Valley Drive, Montgomery, AL 36108",9804140659,9804140659
6G3ZOJ3N5KASYA1ZL,"600 West 19th Avenue, Anchorage, AK 99503","600 West 19th Avenue, Anchorage, AK 99503",9803015532,9803015532
YNRSGP1L9CI206S7M,"22572 Toreador Drive, Salinas, CA 93908","22572 Toreador Drive, Salinas, CA 93908",9804199864,9804199864
ERIZF9Z0631LAH5D5,"5601 West Crocus Drive, Glendale, AZ 85306","5601 West Crocus Drive, Glendale, AZ 85306",9802667289,9802667289
2VLAYMG7TWHHQDA0H,"18 Densmore Drive, Essex, VT 05452","18 Densmore Drive, Essex, VT 05452",9802667287,9802667287
VDNP0ICQKEV6N8CZG,"5461 West Shades Valley Drive, Montgomery, AL 36108","5461 West Shades Valley Drive, Montgomery, AL 36108",9804140659,9804140659
0DQOWOCGAYS3DR4RI,"629 Debbie Drive, Nashville, TN 37076","629 Debbie Drive, Nashville, TN 37076",9804165031,9804165031
0MP5WN3PSOBMA0XM0,"22572 Toreador Drive, Salinas, CA 93908","22572 Toreador Drive, Salinas, CA 93908",9804199864,9804199864
H80Z8WFFF3Y9CR2UF,"3729 East Mission Boulevard, Fayetteville, AR 72703","3729 East Mission Boulevard, Fayetteville, AR 72703",9802667290,9802667290
T3VTTR6C7ZXTLCPZI,"5928 West Mauna Loa Lane, Glendale, AZ 85306","5928 West Mauna Loa Lane, Glendale, AZ 85306",9804211261,9804211261
CPDYOU9RBH8TD2WNG,"629 Debbie Drive, Nashville, TN 37076","629 Debbie Drive, Nashville, TN 37076",9804165031,9804165031
3Q9BJHR16FCNFCBAP,"2905 Stonebridge Court, Norman, OK 73071","2905 Stonebridge Court, Norman, OK 73071",9804152487,9804152487
4OIZDFEAKLX2DD0ZU,"22572 Toreador Drive, Salinas, CA 93908","22572 Toreador Drive, Salinas, CA 93908",9804199864,9804199864
0LWLR1L19ADKO5657,"5928 West Mauna Loa Lane, Glendale, AZ 85306","5928 West Mauna Loa Lane, Glendale, AZ 85306",9804211261,9804211261
